,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
142,2309706,journals/amc/figielk09,lukasz figiel|marcin kaminski ,,numerical probabilistic approach to sensitivity analysis in a fatigue delamination problem of a two layer composite,2009,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,,article
143,2330262,journals/eor/olivellacp10,albert corominas|jordi olivella|rafael pastor,,an entropybased measurement of working time flexibility,2010,,,,,,international conference on computational science ,international conference on artificial immune systems,article
144,890432,conf/apscc/verbovenhab08,frans arickx|jan broeckhove|peter hellinckx|sam verboven,,runtime prediction based grid scheduling of parameter sweep jobs,2008,,,,,,international conference on computational science ,availability,inproceedings
145,153451,conf/cvpr/kaynigfb08,bernd fischer|joachim m buhmann|verena kaynig,,probabilistic image registration and anomaly detection by nonlinear warping,2008,,,,,,,messung,phdthesis
146,2119860,journals/jot/kim03c,won kim,,a snapshot of the trends of the internet era united states ,2003,,,,journal of object technology,journal of the operational research society,,messung,article
147,657831,conf/rsfdgrc/tanglwc03,jie tang|juanzi li|kehong wang|yueru cai,,research of atomic and anonymous electronic commerce protocol,2003,,,,,,,messung,inproceedings
148,186332,conf/dlt/neumann97,andreas neumann,,unambiguity of sgml content models  pushdown automata revisited,1997,,,,,,,messung,inproceedings
149,590707,conf/mm/sandhausbf08,philipp sandhaus|reiner fageth|susanne boll,,employing a photos life cycle for multimedia retrieval,2008,,,,,,ms,conference on imaging science,inproceedings
150,91323,conf/cases/seolskm09,hyotaek shim|jaegeuk kim|jinho seol|seungryoul maeng,,a buffer replacement algorithm exploiting multichip parallelism in solid state disks,2009,,,,,,cases,workshop on graphtheoretic concepts in computer science,phdthesis
151,1816105,journals/adt/altorpdb03,heather bryant|hilary alto|j e leo desautels|raman b paranjape|rangaraj m rangayyan,,an indexed atlas of digital mammograms for computeraided diagnosis of breast cancer,2003,,,,annales des telecommunications,acm transactions on multimedia computing,,messung,article
152,658500,conf/rskt/lizsp10,jin zhao|naxin sun|sankar k pal|yan li,,generalized distribution reduction in inconsistent decision systems based on dominance relations,2010,,,,,,,messung,inproceedings
153,892549,conf/asunam/brochelerps10,andrea pugliese|matthias brocheler|v s subrahmanian,,cosi cloud oriented subgraph identification in massive social networks,2010,,,,,,asonam,computer analysis of images and patterns,inproceedings
154,319920,conf/icann/vicen-buenojrgm07,david de la matamoya|manuel rosazurera|maria p jaraboamores|raul vicenbueno|roberto gilpita,,performance analysis of mlpbased radar detectors in weibulldistributed clutter with respect to target doppler frequency,2007,,,,,,icann ,availability,inproceedings
155,884917,conf/sigmap/songs07a,takashi shimamoto|tian song,,efficient motion compensation architecture with ratedistortion optimization for havc,2007,,,,,,icc ,affective computing and intelligent interaction,phdthesis
156,405792,conf/icpp/lopezlav99,david lopez|eduard ayguade|josep llosa|mateo valero,,impact on performance of fused multiplyadd units in aggressive vliw architectures,1999,,,,,,icpp,international conference on engineering of complex computer systems,inproceedings
157,68325,conf/ats/huangctmszr01,chienchung tsai|nilanjan mukherjee|omer samman|sudhakar m reddy|wutung cheng|yahya zaidan|yu huang,,resource allocation and test scheduling for concurrent test of corebased soc d,2001,,,,,,asian test symposium,object oriented information systems,inproceedings
158,2294866,journals/wi/bohmi87,alexander bohm|jannis iliadis,,ein beitrag zu den quadratischen kollisionsstrategien in hashtabellen  ein neuer algorithmus,1987,,,,,,,messung,article
159,1928230,journals/corr/abs-1009-4870,alexander kroeller|max pagel|sandor p fekete|tobias baumgartner|tom kamphans,,hallway monitoring distributed data processing with wireless sensor networks,2010,,,,corr,international journal of wireless information networks,,,article
160,851396,conf/or/transchelm05,sandra transchel|stefan minner,,simultaneous dynamic pricing and lotsizing decision for a discrete number of price variations,2005,,,,,,or,wissensbasierte systeme,inproceedings
161,882454,conf/cdc/yamamotonjp08,hendra ishwara nurdin|ian r petersen|matthew r james|naoki yamamoto,,feedback control of entanglement in a linear quantum network a case study,2008,,,,,,cdc,working conference on reverse engineering,inproceedings
162,2014301,journals/ieicet/kimuranysh08,mutsumi kimura|takehiko yamashita|takehiro shima|tomohisa hachida|yoshitaka nishizaki,,device characterization of thinfilm phototransistors for photosensor applications,2008,,,,ieice transactions,international journal of algebra and computation ijac,,messung,article
163,2306639,journals/amc/jarbouicsr07,ahmed riadh rebai|bassem jarboui|mohamed cheikh|patrick siarry,,combinatorial particle swarm optimization cpso for partitional clustering problem,2007,,,,,,,messung,article
164,534657,conf/itc/sourgen04,laurent sourgen,,testing a secure device high coverage with very low observability,2004,,,,,,itc,iberian conference on pattern recognition and image analysis,inproceedings
165,323636,conf/icc/wanga00,bo wang |tulay adali,,a weighted frequencydomain least squares approach for equalization in discrete multitone systems,2000,,,,,,icc ,affective computing and intelligent interaction,inproceedings
166,658370,conf/rskt/liubf08,boqin feng|guohua bai|yang liu,,multiagent based multiknowledge acquisition method for rough set,2008,,,,,,rskt,recherche dinformation assistee par ordinateur,inproceedings
167,459750,conf/ijcai/rivinz89,igor rivin|ramin zabih,,an algebraic approach to constraint satisfaction problems,1989,,,,,,ijcai,conference on automated deduction,inproceedings
168,299262,conf/hpdc/honglklp04,eunsung kim|hyoungwoo park|jongsuk lee|minyeol lim|wontaek hong,,gais grid advanced information service based on pp mechanism,2004,,,,,,,messung,inproceedings
169,290901,conf/hicss/sundaresan97,neelakantan sundaresan,,exploiting delayed synchronization arrivals in lightweight data parallelism,1997,,,,,,,messung,inproceedings
170,69633,conf/ausai/gesl05,hongwei ge|liang sun|yanchun liang,,solving jobshop scheduling problems by a novel artificial immune system,2005,,,,,,australian conference on artificial intelligence,pacific rim international conference on artificial intelligence,inproceedings
171,515058,conf/ismda/coltellapcco04,dolores corella|jose m ordovas|larry parnell|miguel arregui|oscar coltell|ricardo chalmeta,,seqpacker a biologistfriendly user interface to manipulate nucleotide sequences in genomic epidemiology,2004,,,,,,isbmda,broadband european networks and multimedia services,inproceedings
172,624346,conf/pdcat/lill04,dongyang long|jingao liu|ming li,,probability principle of a reliable approach to detect signs of ddos flood attacks,2004,,,,,,,messung,inproceedings
173,633224,conf/pgldb/kortemeyerabbbhkkkmpss03,alexander sakharuk|behrouz minaeibidgoli|cheryl speier|deborah kashy|edwin kashy|felicia berryman|gerd kortemeyer|guy albertelli|helen keefe|jeremy bowers|matthew hall|william f punch|wolfgang bauer,,the learningonline network with computerassisted personalized approach loncapa,2003,,,,,,pgldb,int workshop on fuzzy logic and applications,inproceedings
174,2259049,journals/tit/nagyz00,kenneth zeger|zsigmond nagy,,capacity bounds for the threedimensional   run length limited channel,2000,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,,messung,inproceedings
175,774937,conf/wine/flaxmangs06,abraham flaxman|david gamarnik|gregory b sorkin,,firstpassage percolation on a width strip and the path cost in a vcg auction,2006,,,,,,,,article
176,336830,conf/iccd/yamadahnmys95,f murabayashi|h sawamoto|h yamada|t hotta|t nishiyama|t yamauchi,,a ns doubleprecision floatingpoint alu and multiplier,1995,,,,,,,messung,inproceedings
177,256541,conf/fskd/zhuangl10,fei liu|jiamei zhuang,,finitetime stabilization of a class of uncertain nonlinear systems with timedelay,2010,,,,,,fskd,conference on implementation and application of automata,inproceedings
178,904536,conf/imcsit/korzhikurmm09,anton ushmotkin|artem razumov|guillermo moralesluna|irina marakovabegoc|valery i korzhik,,collusionresistant fingerprints based on the use of superimposed codes in real vector spaces,2009,,,,,,mmmacns,meeting of the association for computational linguistics,inproceedings
179,545686,conf/iwips/everskj99,a jones|agnes kukulskahulme|vanessa evers,,crosscultural understanding of interface design a crosscultural analysis of icon recognition,1999,,,,,,iwips,principles and practice of constraint programming,inproceedings
180,479115,conf/ipco/fiorinihrv05,adrian vetta|bruce a reed|nadia hardy|samuel fiorini,,approximate minmax relations for odd cycles in planar graphs,2005,,,,,,ipco,acm symposium on parallel algorithms and architectures,inproceedings
181,75696,conf/bildmed/munzlbzs00,arndt bode|frank munz|markus schwaiger|sibylle ziegler|thomas ludwig ,,effiziente schedulingalgorithmen fur datenparallele anwendungen der funktionellen medizinischen bildgebung auf nows,2000,,,,,,bildverarbeitung fur die medizin,euromicro,inproceedings
182,654277,conf/recomb/chiangabhl06,david hsu|douglas l brutlag|jeanclaude latombe|mehmet serkan apaydin|tsunghan chiang,,predicting experimental quantities in protein folding kinetics using stochastic roadmap simulation,2006,,,,,,psivt,siam international conference on data mining,inproceedings
183,776196,conf/wisa/rheebll05,dong hoon lee|hyun sook rhee|jin wook byun|jongin lim,,oblivious conjunctive keyword search,2005,,,,,,wisa,parallel and distributed processing techniques and applications,inproceedings
184,383947,conf/icisc/changdflkl04,feng bao|hyungjun kim|jongin lim|kisik chang|robert h deng|sangjin lee,,on security notions for steganalysis,2004,,,,,,,,inproceedings
185,206317,conf/ecweb/changlk01,byungrae lee|kyungah chang|taiyun kim,,flexible authentication with multiple domains of electronic commerce,2001,,,,,,,messung,inproceedings
186,856463,conf/wsks/nunezsgp08,javier de andres suarez|jose emilio labra gayo|patricia ordonez de pablos|sheila mendez nunez,,a semantic based collaborative system for the interoperability of xbrl accounting information,2008,,,,,,icai,conference on email and antispam,inproceedings
187,561150,conf/ki/tenabrg07,carles fernandez tena|f xavier roca|jordi gonzalez|pau baiget,,natural language descriptions of human behavior from video sequences,2007,,,,,,,messung,inproceedings
188,251438,conf/fpl/ortizhdp03,dennis w prather|fernando e ortiz|james p durbano|john r humphrey,,a study on the design of floatingpoint functions in fpgas,2003,,,,,,fpl,intelligent virtual agents,inproceedings
189,12174,conf/ieeepact/leeskkcskh08,chihun kim|jaejin lee|junghyun kim|jungwon kim|posung chun|sangmin seo|sangyong han|zehra sura,,comic a coherent shared memory interface for cell be,2008,,,,,,pact,information retrieval,inproceedings
190,97522,conf/ccgrid/catoncorb08,bruce g batchelor|matthan caan|omer f rana|silvia delgado olabarriaga|simon caton,,using dynamic condorbased services for classifying schizophrenia in diffusion tensor images,2008,,,,,,ccgrid,european journal of combinatorics,inproceedings
191,1921369,journals/corr/abs-0909-3127,adrian dumitrescu|minghui jiang,,on the largest empty axisparallel box amidst n points,2009,,,,corr,international journal of wireless information networks,,messung,article
192,587523,conf/mkm/autexierfnw07,armin fiedler|marc wagner|serge autexier|thomas neumann ,,supporting userdefined notations when integrating scientific texteditors with proof assistance systems,2007,,,,,,,messung,inproceedings
193,1851697,journals/bmcbi/hettichrvsfj10,alison l russell|claire fraserliggett|janet k jansson|manesh shah|nathan verberkmoes|robert l hettich,,integrating experimental and computational approaches for the proteogenomic characterizations of microbial communities,2010,,,,bmc bioinformatics,international journal of intelligent information and database systems ijiids,,messung,article
